2021-06-01 23:25:14.711 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 23:25:15.405 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 23:25:15.711 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 23:25:15.712 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 23:25:15.712 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 23:25:15.784 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 23:25:16.113 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 23:25:16.401 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 23:25:16.710 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 23:25:16.745 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 23:25:16.757 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 2.684 seconds (JVM running for 3.446)
2021-06-01 23:25:54.891 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 66532 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 23:25:54.894 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 23:25:54.895 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 23:25:55.581 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 23:25:55.888 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 23:25:55.888 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 23:25:55.889 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 23:25:55.961 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 23:25:56.298 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 23:25:56.551 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 23:25:56.853 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 23:25:56.893 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 23:25:56.906 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 2.623 seconds (JVM running for 3.15)
2021-06-01 23:27:13.639 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-01 23:28:13.819 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 67695 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 23:28:13.823 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
